UF;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
RO;28,28;38,71;35,37;24,49;33,31;40,7;42,95;38,88;38,04;36,17;37,44;27,17;32,14;35,77;34,95;28,55;33,08;27,95;33,06;33,93;39,33
AC;19,99;21,4;19,56;21,51;9,66;21,07;25,73;24,48;18,56;18,51;23,01;19,48;19,56;22,14;22,49;21,97;27,41;30,14;29,36;27,01;44,45
AM;19,02;21,18;20,9;18,83;20,42;16,72;17,32;18,41;16,97;18,53;21,11;21,1;24,84;26,99;31,06;36,51;37,43;31,28;32,01;37,38;36,28
RR;35,36;51,4;47,59;43,3;57,69;32,02;35,17;29,67;23,12;24,28;27,52;27,93;25,44;28;26,86;20,64;30,67;43,85;31,79;40,15;39,67
PA;13,34;13,42;13,42;12,7;10,91;15,23;18,47;21,37;22,69;27,63;29,15;30,27;39,06;40,22;46,44;39,97;41,37;42,72;42,68;44,95;50,85
AP;34,83;38,02;34;41,37;43,66;36,49;35,04;34,59;31,1;32,96;32,81;27,02;34,25;30,32;38,83;30,54;36,22;30,61;34,09;38,22;48,7
TO;10,36;11,64;15,15;12,02;12,07;17,89;14,08;16,58;15,8;14,55;17,19;16,63;18,51;22,37;23,64;25,77;26,73;23,61;25,45;33,2;37,64
MA;6,29;5,19;6,42;6,95;4,84;9,82;10,44;13,54;12,32;15,32;15,67;17,99;20,25;21,96;23,1;23,94;26,47;31,84;35,94;35,31;34,63
PI;5,27;5,16;8,35;4,38;4,86;9,12;10,63;10,19;11,09;12,24;13,77;12,49;11,57;12,24;13,18;14,01;16,61;18,78;22,45;20,29;21,82
CE;14,83;13,49;17,19;13;15,53;17,01;18,88;20,15;20,12;20,98;21,81;23,19;23,89;25,33;31,8;32,73;44,63;50,95;52,31;46,75;40,63
RN;9,06;8,46;9,57;9,42;8,44;11,44;10,48;14,02;11,77;13,52;14,95;19,1;22,98;25,5;25,57;32,95;34,82;42,89;47;44,88;53,35
PB;14,77;13,57;14,92;19,24;11,94;13,95;17,37;17,51;19,06;20,72;22,77;23,67;27,49;33,5;38,63;42,57;39,97;39,62;39,33;38,32;33,88
PE;49,73;58,79;56,17;40,84;55,63;58,81;54,37;55,34;50,66;51,46;52,6;53,04;50,9;44,98;39,48;39,15;37,25;33,92;36,19;41,16;47,26
AL;24,11;21,65;26,55;28,14;20,42;29,06;34,32;35,61;35,11;39,89;53,1;59,51;60,33;59,35;66,88;71,39;64,63;65,07;62,78;52,33;54,18
SE;11,47;10,39;23,55;14,65;19,21;28,5;30,12;25,02;23,86;24,75;29,24;25,67;27,76;32,33;32,69;34,98;41,64;43,95;49,42;58,09;64,66
BA;15,59;9,89;9,46;15,01;7,03;12,27;13,2;16,12;16,69;20,85;23,73;25,98;33,23;37,11;41,69;39,36;43,37;37,85;40,01;39,54;46,94
MG;7,97;8,84;12,06;7,56;9,23;13,05;16,32;20,85;22,84;21,95;21,44;20,92;19,59;18,68;18,6;21,6;22,98;22,91;22,78;21,72;22,01
ES;49,63;57,85;48,14;42,49;51,87;46,02;51,35;50,12;49,08;47;50,86;53,33;56,38;56,92;50,98;47,14;46,59;42,25;41,42;36,9;31,96
RJ;58,68;55,35;52,75;59,93;52,59;50,57;56,61;54,54;51,43;48,16;47,48;41,62;35,67;33,51;35,44;29,67;29,4;31,22;34,74;30,62;36,38
SP;36,08;39,64;42,89;36,11;44,01;41,92;38,05;36,29;28,89;21,93;20,4;15,45;15,44;15,84;14,64;14,05;15,67;13,82;14,05;12,22;10,88
PR;17,29;17,55;18,85;15,32;18,2;21,17;23,13;25,79;28,22;29,01;29,82;29,54;32,53;34,61;34,33;32,11;32,98;26,7;26,89;26,3;27,4
SC;8,53;8,23;8,38;8,45;7,55;8,75;10,58;11,95;11,22;10,79;11,18;10,45;13,25;13,4;13,17;12,84;12,86;11,89;13,45;14,03;14,24
RS;16,88;15,45;16,55;15,38;15,37;17,98;18,37;18,15;18,67;18,64;18,09;19,85;21,92;20,54;19,5;19,35;22,12;20,8;24,31;26,17;28,57
MS;37,11;33,57;31,64;37,45;28,18;29,42;31,95;32,49;29,84;27,87;29,72;30,46;29,92;30,71;26,79;27,16;27,26;24,35;26,72;23,91;25,02
MT;33,48;35,68;40,92;29,52;34,6;38;36,4;34,25;31,62;32,36;31,36;30,55;31,68;33,31;32,03;32,8;34,47;36,39;42,12;36,84;35,7
GO;16,04;14,84;21,9;17,32;17,59;22,81;26,29;25,37;28,21;26,12;26,33;26,04;30,66;32,09;32,96;37,36;45,38;46,24;44,26;45,34;45,34
DF;32,66;32,91;34,07;33,76;33,45;33,04;29,87;33,88;31,16;28,16;27,69;29,21;31,75;33,83;30,58;34,56;36,02;30;29,55;25,46;25,53
