UF;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
RO;301;355;494;432;466;573;615;566;563;555;585;432;480;538;546;450;526;483;578;600;703
AC;104;100;110;51;106;121;151;147;114;124;158;137;133;153;165;164;208;234;232;217;363
AM;450;468;534;527;552;485;513;558;526;599;699;715;830;916;1082;1292;1344;1191;1240;1472;1452
RR;107;90;134;154;130;108;122;106;85;95;111;116;105;118;121;95;144;214;158;203;204
PA;700;754;774;642;806;966;1192;1405;1519;1926;2073;2194;2860;2989;3521;3073;3236;3405;3446;3675;4223
AP;157;140;160;192;156;182;181;185;172;196;202;172;210;190;260;209;253;225;256;293;381
TO;126;112;129;137;176;212;170;204;198;190;229;226;237;289;327;361;379;349;381;503;577
MA;363;333;278;262;352;563;606;795;732;935;969;1127;1277;1398;1519;1591;1777;2163;2462;2438;2408
PI;117;142;140;133;230;262;308;298;327;368;418;383;361;385;411;440;525;598;717;650;701
CE;885;1026;946;1104;1238;1284;1445;1563;1582;1699;1792;1933;2019;2165;2688;2792;3841;4473;4626;4163;3642
RN;241;235;222;224;257;322;299;405;344;406;455;589;714;800;810;1054;1124;1447;1602;1545;1854
PB;636;492;455;403;507;484;607;616;675;745;825;864;1029;1263;1455;1614;1525;1551;1551;1522;1355
PE;3022;3713;4423;4217;4290;4710;4396;4517;4174;4330;4472;4557;4446;3963;3473;3471;3327;3124;3358;3847;4447
AL;741;642;582;554;727;830;991;1039;1035;1203;1620;1836;1887;1873;2087;2244;2046;2148;2085;1748;1820
SE;238;190;175;329;410;518;556;469;454;487;585;522;555;653;676;731;879;965;1097;1303;1465
BA;1883;1981;1271;913;1242;1622;1759;2166;2262;2881;3311;3659;4819;5432;5844;5549;6148;5694;6052;6012;7171
MG;1261;1347;1511;1596;2109;2366;2994;3869;4286;4223;4177;4125;3889;3742;3646;4262;4562;4717;4724;4532;4622
ES;1191;1416;1675;1524;1435;1452;1644;1629;1619;1602;1762;1877;1947;1985;1792;1672;1667;1622;1609;1450;1270
RJ;8034;7954;7573;7261;7350;7362;8335;8115;7731;7408;7389;6551;5662;5365;5667;4781;4772;5111;5718;5067;6053
SP;12320;12537;13986;15763;15591;15773;14526;14048;11336;8870;8377;6437;6332;6557;6039;5842;6566;6035;6185;5427;4870
PR;1379;1581;1625;1706;1789;2052;2266;2555;2826;2977;3098;3105;3445;3698;3586;3376;3489;2936;2980;2936;3080
SC;412;423;414;385;433;477;585;670;638;633;666;632;802;820;823;811;821;789;905;957;984
RS;1482;1648;1524;1533;1668;1854;1912;1908;1982;2021;1983;2199;2380;2242;2085;2077;2382;2322;2724;2944;3225
MS;722;729;670;571;651;621;684;705;656;631;683;710;699;725;656;673;683;630;700;634;671
MT;660;766;832;822;990;973;948;908;853;907;896;889;937;1000;972;1009;1074;1158;1358;1203;1180
GO;782;744;704;853;1085;1167;1370;1346;1524;1468;1509;1521;1792;1902;1979;2272;2793;2975;2887;2997;3036
DF;615;613;633;659;687;693;641;742;696;657;660;711;812;882;786;902;954;837;843;742;760
