Ano	Nomes de medida	Tipo de crime	UF	Região	Valores de medida
2007	Taxa /100 mil veículos	Roubo de veículo	TO	N	
2007	Taxa /100 mil veículos	Roubo de veículo	SP	SE	395,968272249
2007	Taxa /100 mil veículos	Roubo de veículo	SE	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	SC	S	31,906718536
2007	Taxa /100 mil veículos	Roubo de veículo	RS	S	
2007	Taxa /100 mil veículos	Roubo de veículo	RR	N	
2007	Taxa /100 mil veículos	Roubo de veículo	RO	N	
2007	Taxa /100 mil veículos	Roubo de veículo	RN	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	RJ	SE	874,097970588
2007	Taxa /100 mil veículos	Roubo de veículo	PR	S	
2007	Taxa /100 mil veículos	Roubo de veículo	PI	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	PE	NE	392,003322438
2007	Taxa /100 mil veículos	Roubo de veículo	PB	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	PA	N	
2007	Taxa /100 mil veículos	Roubo de veículo	MT	CO	151,296865276
2007	Taxa /100 mil veículos	Roubo de veículo	MS	CO	102,111490417
2007	Taxa /100 mil veículos	Roubo de veículo	MG	SE	26,237905521
2007	Taxa /100 mil veículos	Roubo de veículo	MA	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	GO	CO	88,116774869
2007	Taxa /100 mil veículos	Roubo de veículo	ES	SE	176,688094114
2007	Taxa /100 mil veículos	Roubo de veículo	DF	CO	161,610104841
2007	Taxa /100 mil veículos	Roubo de veículo	CE	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	BA	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	AP	N	
2007	Taxa /100 mil veículos	Roubo de veículo	AM	N	
2007	Taxa /100 mil veículos	Roubo de veículo	AL	NE	
2007	Taxa /100 mil veículos	Roubo de veículo	AC	N	
2007	Taxa /100 mil veículos	Roubo de veículo	Brasil		237,079890279
2007	Números absolutos	Roubo de veículo	TO	N	
2007	Números absolutos	Roubo de veículo	SP	SE	65195
2007	Números absolutos	Roubo de veículo	SE	NE	
2007	Números absolutos	Roubo de veículo	SC	S	852
2007	Números absolutos	Roubo de veículo	RS	S	
2007	Números absolutos	Roubo de veículo	RR	N	
2007	Números absolutos	Roubo de veículo	RO	N	
2007	Números absolutos	Roubo de veículo	RN	NE	
2007	Números absolutos	Roubo de veículo	RJ	SE	31490
2007	Números absolutos	Roubo de veículo	PR	S	
2007	Números absolutos	Roubo de veículo	PI	NE	
2007	Números absolutos	Roubo de veículo	PE	NE	4946
2007	Números absolutos	Roubo de veículo	PB	NE	
2007	Números absolutos	Roubo de veículo	PA	N	
2007	Números absolutos	Roubo de veículo	MT	CO	1235
2007	Números absolutos	Roubo de veículo	MS	CO	746
2007	Números absolutos	Roubo de veículo	MG	SE	1383
2007	Números absolutos	Roubo de veículo	MA	NE	
2007	Números absolutos	Roubo de veículo	GO	CO	1553
2007	Números absolutos	Roubo de veículo	ES	SE	1650
2007	Números absolutos	Roubo de veículo	DF	CO	1574
2007	Números absolutos	Roubo de veículo	CE	NE	
2007	Números absolutos	Roubo de veículo	BA	NE	
2007	Números absolutos	Roubo de veículo	AP	N	
2007	Números absolutos	Roubo de veículo	AM	N	
2007	Números absolutos	Roubo de veículo	AL	NE	
2007	Números absolutos	Roubo de veículo	AC	N	
2007	Números absolutos	Roubo de veículo	Brasil		117696
2008	Taxa /100 mil veículos	Roubo de veículo	TO	N	26,478793324
2008	Taxa /100 mil veículos	Roubo de veículo	SP	SE	341,094400221
2008	Taxa /100 mil veículos	Roubo de veículo	SE	NE	141,496910601
2008	Taxa /100 mil veículos	Roubo de veículo	SC	S	40,564612575
2008	Taxa /100 mil veículos	Roubo de veículo	RS	S	337,83349971
2008	Taxa /100 mil veículos	Roubo de veículo	RR	N	36,018235518
2008	Taxa /100 mil veículos	Roubo de veículo	RO	N	123,758914837
2008	Taxa /100 mil veículos	Roubo de veículo	RN	NE	223,950805814
2008	Taxa /100 mil veículos	Roubo de veículo	RJ	SE	717,973204983
2008	Taxa /100 mil veículos	Roubo de veículo	PR	S	156,613236514
2008	Taxa /100 mil veículos	Roubo de veículo	PI	NE	86,068198145
2008	Taxa /100 mil veículos	Roubo de veículo	PE	NE	436,639224436
2008	Taxa /100 mil veículos	Roubo de veículo	PB	NE	85,684592252
2008	Taxa /100 mil veículos	Roubo de veículo	PA	N	348,719980569
2008	Taxa /100 mil veículos	Roubo de veículo	MT	CO	130,371708487
2008	Taxa /100 mil veículos	Roubo de veículo	MS	CO	92,18017259
2008	Taxa /100 mil veículos	Roubo de veículo	MG	SE	5,791603375
2008	Taxa /100 mil veículos	Roubo de veículo	MA	NE	156,723936649
2008	Taxa /100 mil veículos	Roubo de veículo	GO	CO	106,445008615
2008	Taxa /100 mil veículos	Roubo de veículo	ES	SE	155,870570401
2008	Taxa /100 mil veículos	Roubo de veículo	DF	CO	201,988489682
2008	Taxa /100 mil veículos	Roubo de veículo	CE	NE	210,393053853
2008	Taxa /100 mil veículos	Roubo de veículo	BA	NE	438,591619384
2008	Taxa /100 mil veículos	Roubo de veículo	AP	N	0
2008	Taxa /100 mil veículos	Roubo de veículo	AM	N	565,463652109
2008	Taxa /100 mil veículos	Roubo de veículo	AL	NE	201,982149067
2008	Taxa /100 mil veículos	Roubo de veículo	AC	N	154,736093993
2008	Taxa /100 mil veículos	Roubo de veículo	Brasil		268,064484816
2008	Números absolutos	Roubo de veículo	TO	N	84
2008	Números absolutos	Roubo de veículo	SP	SE	60895
2008	Números absolutos	Roubo de veículo	SE	NE	469
2008	Números absolutos	Roubo de veículo	SC	S	1178
2008	Números absolutos	Roubo de veículo	RS	S	14207
2008	Números absolutos	Roubo de veículo	RR	N	35
2008	Números absolutos	Roubo de veículo	RO	N	531
2008	Números absolutos	Roubo de veículo	RN	NE	1314
2008	Números absolutos	Roubo de veículo	RJ	SE	27847
2008	Números absolutos	Roubo de veículo	PR	S	6972
2008	Números absolutos	Roubo de veículo	PI	NE	375
2008	Números absolutos	Roubo de veículo	PE	NE	6129
2008	Números absolutos	Roubo de veículo	PB	NE	465
2008	Números absolutos	Roubo de veículo	PA	N	2570
2008	Números absolutos	Roubo de veículo	MT	CO	1224
2008	Números absolutos	Roubo de veículo	MS	CO	744
2008	Números absolutos	Roubo de veículo	MG	SE	338
2008	Números absolutos	Roubo de veículo	MA	NE	882
2008	Números absolutos	Roubo de veículo	GO	CO	2114
2008	Números absolutos	Roubo de veículo	ES	SE	1640
2008	Números absolutos	Roubo de veículo	DF	CO	2136
2008	Números absolutos	Roubo de veículo	CE	NE	2782
2008	Números absolutos	Roubo de veículo	BA	NE	7897
2008	Números absolutos	Roubo de veículo	AP	N	0
2008	Números absolutos	Roubo de veículo	AM	N	2416
2008	Números absolutos	Roubo de veículo	AL	NE	697
2008	Números absolutos	Roubo de veículo	AC	N	172
2008	Números absolutos	Roubo de veículo	Brasil		146113
2009	Taxa /100 mil veículos	Roubo de veículo	TO	N	35,537208879
2009	Taxa /100 mil veículos	Roubo de veículo	SP	SE	375,377799541
2009	Taxa /100 mil veículos	Roubo de veículo	SE	NE	146,204659941
2009	Taxa /100 mil veículos	Roubo de veículo	SC	S	28,846257706
2009	Taxa /100 mil veículos	Roubo de veículo	RS	S	283,543306544
2009	Taxa /100 mil veículos	Roubo de veículo	RR	N	43,611386206
2009	Taxa /100 mil veículos	Roubo de veículo	RO	N	133,202026458
2009	Taxa /100 mil veículos	Roubo de veículo	RN	NE	201,954577075
2009	Taxa /100 mil veículos	Roubo de veículo	RJ	SE	601,98103601
2009	Taxa /100 mil veículos	Roubo de veículo	PR	S	148,680830842
2009	Taxa /100 mil veículos	Roubo de veículo	PI	NE	69,631075012
2009	Taxa /100 mil veículos	Roubo de veículo	PE	NE	360,081287697
2009	Taxa /100 mil veículos	Roubo de veículo	PB	NE	51,753158657
2009	Taxa /100 mil veículos	Roubo de veículo	PA	N	356,53229895
2009	Taxa /100 mil veículos	Roubo de veículo	MT	CO	180,195746887
2009	Taxa /100 mil veículos	Roubo de veículo	MS	CO	52,185567804
2009	Taxa /100 mil veículos	Roubo de veículo	MG	SE	30,710249734
2009	Taxa /100 mil veículos	Roubo de veículo	MA	NE	78,89623417
2009	Taxa /100 mil veículos	Roubo de veículo	GO	CO	144,35950208
