;ESTADO;REGIAO;N;NE;CO;SE;S;IDHM;GINI;PIB;PARTIDO;POPULACAO;QUANTPRESOS;TAXAENCARCERAMENTO;IDHMRENDA2010;IDHMEDUCACAO2010;TAXAANALFABETISMO;JOVEMENC;NAOJOVEMENC;TAXAENCJOVENS;TAXAENCBRANCOS;TAXAENCNEGROS;DESEMPREGO;MULHERENC;HOMEMENC;QUANTPOLICIAIS;JOVENSTOTAL;NEGROSTOTAL;TXHOMI;TRAFABS;TRAF.;X.JOV;X.NEP;X.NEG;X.POPURB;TAXPOL;TAXDES;PIBCAP;TXJOV;TXNEP;TXN;TXPOPURB;VDILMA;VSERRA;HOMI.100;TRAF.100;FUNDINC;FUNDINC.100;H.100;FRONT;NFRONT;BRAN.100;MIGEST;MIGESTCID;DESARM;EVA;PIBBRASIL;PT;PSDB;TXEVA
1;ACRE;NORTE;1;0;0;0;0;663;452;9629;PT;735793;3545;482;0.67;0.56;10.19;2307;1173;403;163;542;26000;210;3335;2712;304;46;27.5;336;45.0;28.91;70.72;6.06;72.56;0.368581925;0.035336025;1308656103;0.2891;0.7072;0.0606;0.7256;0;1;275;450;27.77;0.2777;0.5021;1;0;0.2358;0.1565;0.3115;0.8376;32.66;0.00219;1;0;0.3266
2;ALAGOAS;NORDESTE;0;1;0;0;0;631;456;29545;PSDB;3125343;4153;133;0.64;0.52;17.79;2283;1870;134;109;144;138000;225;3928;7135;1233;194;64.6;645;20.5;26.96;71.77;5.91;73.64;0.228294942;0.044155154;9453362399;0.2696;0.7177;0.0591;0.7364;1;0;646;205;33.46;0.3346;0.4845;0;1;0.2802;0.1222;0.2692;0.5486;15.91;0.00673;0;1;0.1591
3;AMAPA;NORTE;1;0;0;0;0;708;455;10420;PSB;693434;2045;295;0.69;0.63;26.09;1503;493;188;82;195;38000;111;1934;3700;294;57;35.9;4;0.6;28.59;81.58;7.87;89.77;0.533576375;0.054799736;150266644;0.2859;0.8158;0.0787;0.8977;1;0;359;6;24.44;0.2444;0.5006;1;0;0.1801;0.74;0.3630;0.6916;27.95;0.01460;0;0;0.2795
4;AMAZONAS;NORTE;1;0;0;0;0;674;478;64120;PMN;3409492;6814;200;0.68;0.56;10.47;3800;2070;149;416;225;137000;623;6191;9050;1409;137;36.7;1324;37.4;27.2;75.18;3.65;79.09;0.265435437;0.040181939;1880632071;0.2720;0.7518;0.0365;0.7909;1;0;367;374;27.44;0.2744;0.5032;1;0;0.2135;0.2877;0.2896;0.7348;31.16;0.00237;0;0;0.3116
5;BAHIA;NORDESTE;0;1;0;0;0;660;559;167727;PT;13986692;10251;73;0.66;0.56;9.09;6125;4120;61;49;79;763000;581;9670;31039;5211;2609;41.9;3767;27.5;25.37;79.24;17.42;72.07;0.221918092;0.054551855;1199189916;0.2537;0.7924;0.1742;0.7207;1;0;419;275;31.42;0.3142;0.4907;0;1;0.2017;0.1386;0.2704;0.5545;17.41;0.03819;1;0;0.1741
6;CEARA;NORDESTE;0;1;0;0;0;682;487;90132;PSB;8523175;17622;207;0.65;0.62;17.73;7316;6827;169;68;171;27000;760;16862;15926;3221;335;44.6;3035;35.6;26.83;67.81;3.83;75.09;0.186855251;0.003167834;1057493246;0.2683;0.6781;0.0383;0.7509;1;0;446;356;28.84;0.2884;0.4874;0;1;0.3190;0.66;0.2719;0.5470;14.63;0.02052;0;0;0.1463
7;DISTRITO FEDERAL;CENTROOESTE;0;0;1;0;0;824;570;171236;PT;2621853;11399;435;0.86;0.74;20.14;5557;4669;356;123;379;128000;641;10758;14345;959;217;38.9;2072;79.4;26.83;58.71;7.92;96.58;0.547132124;0.048820433;6531106054;0.2683;0.5871;0.0792;0.9658;0;1;389;794;17.45;0.1745;0.4781;0;1;0.4043;0.0527;0.4873;0.5683;26.88;0.03899;1;0;0.2688
8;ESPIRITO SANTO;SUDESTE;0;0;0;1;0;740;453;107329;PSB;3567263;14733;413;0.74;0.65;3.66;9260;5286;287;204;551;132000;1343;13390;8491;1223;352;47.3;2513;70.8;24.03;59.7;9.25;83.4;0.238025624;0.037003159;3008721252;0.2403;0.5970;0.0925;0.8340;0;1;473;708;27.75;0.2775;0.4925;0;1;0.3981;0.4852;0.4231;0.5638;33.12;0.02444;0;0;0.3312
9;GOIAS;CENTROOESTE;0;0;1;0;0;735;458;123926;PSDB;6087725;11218;184;0.74;0.65;8.62;6744;4308;139;100;238;165000;599;10619;11950;2169;394;44.3;1771;29.1;25.36;59.93;6.2;90.29;0.196296646;0.027103721;203567014;0.2536;0.5993;0.0620;0.9029;0;1;443;291;25.76;0.2576;0.4966;0;1;0.3963;0.2011;0.4870;0.6790;28.08;0.02822;0;1;0.2808
10;MARANHAO;NORDESTE;0;1;0;0;0;639;545;58820;PMDB;6642466;4241;64;0.61;0.56;8.46;2667;1630;59;76;60;202000;207;4034;7709;2440;697;26.0;482;7.3;26.39;78.44;10.33;63.08;0.116056296;0.030410393;8855145062;0.2639;0.7844;0.1033;0.6308;1;0;260;73;32.33;0.3233;0.4961;0;1;0.2107;0.2921;0.2946;0.6113;17.19;0.01339;0;0;0.1719
