ESTADO;REGIAO;IDH;GINI;PIB;PARTIDO;IDEOLOGIA;PRESOS;POP;TAXA.2012;TAXA.2014
ACRE;NORTE;0,663;0,452;9629;PT;1;3488;790101;482;441
ALAGOAS;NORDESTE;0,631;0,456;29545;PSDB;0;5423;3321730;133;174
AMAPA;NORTE;0,708;0,455;10420;PSB;0;2654;750912;295;353
AMAZONAS;NORTE;0,674;0,478;64120;PMN;0;7378;3873743;200;192
BAHIA;NORDESTE;0,66;0,559;167727;PT;1;11836;15126371;73;102
CEARA;NORDESTE;0,682;0,487;90132;PSB;0;20416;8842791;207;246
DISTRITO FEDERAL;CENTRO-OESTE;0,824;0,57;171236;PT;1;13269;2852372;435;497
ESPIRITO SANTO;SUDESTE;0,74;0,453;107329;PSB;0;16234;3885049;413;418
GOIAS;CENTRO-OESTE;0,735;0,458;123926;PSDB;0;13244;6523222;184;203
MARANHAO;NORDESTE;0,639;0,545;58820;PMDB;0;4530;6850884;64;89
MATO GROSSO;CENTRO-OESTE;0,725;0,466;80830;PMDB;0;10357;3224357;347;321
MATO GROSSO DO SUL;CENTRO-OESTE;0,729;0,491;54471;PMDB;0;14203;2619657;468;569
MINAS GERAIS;SUDESTE;0,731;0,474;403551;PSDB;0;56236;20734097;231;296
PARA;NORTE;0,646;0,472;91009;PSDB;0;12604;8073924;142;164
PARAIBA;NORDESTE;0,658;0,514;38731;PSB;0;9596;3943885;232;243
PARANA;SUL;0,749;0,461;255927;PSDB;0;19511;11081692;210;259
PERNAMBUCO;NORDESTE;0,673;0,463;117340;PSB;0;31510;9277727;326;340
PIAUI;NORDESTE;0,646;0,566;25721;PSB;0;3224;3194718;95;102
RIO DE JANEIRO;SUDESTE;0,761;0,489;504221;PMDB;0;39321;16461173;191;239
RIO GRANDE DO NORTE;NORDESTE;0,684;0,521;39544;;;7047;3408510;182;208
RIO GRANDE DO SUL;SUL;0,746;0,465;277658;PT;1;28059;11207274;273;250
RONDONIA;NORTE;0,69;0,442;29362;PMDB;0;7631;1748531;476;436
RORAIMA;NORTE;0,707;0,49;7314;PSDB;0;1605;496936;424;324
SANTA CATARINA;SUL;0,774;0,436;177276;DEM;0;17914;6727148;255;266
SAO PAULO;SUDESTE;0,783;0,474;1408904;PSDB;0;214843;44035304;459;497
SERGIPE;NORDESTE;0,665;0,562;27823;PT;1;4057;2219574;197;194
TOCANTINS;CENTRO-OESTE;0,699;0,5;19530;PSDB;0;3233;1496880;151;216
