Ranking;Country;HDI 2013;Gini 2003-2012;Prision Population Total 2011-2013;Prision Population Rate (per 100000) 2011-2013
50;Uruguay;0,79;45,3;9524;281
51;Bahamas;0,789;NA;1600;444
51;Montenegro;0,789;28,6;1297;208
53;Belarus;0,786;26,5;31700;335
54;Romania;0,785;27,4;33015;155
55;Libya;0,784;NA;5328;81
56;Oman;0,783;NA;1403;61
57;Russian Federation;0,778;40,1;681600;475
58;Bulgaria;0,777;28,2;10996;151
59;Barbados;0,776;NA;1507;521
60;Palau;0,775;NA;62;295
61;Antigua and Barbuda;0,774;NA;371;403
62;Malaysia;0,773;46,2;39144;132
63;Mauritius;0,771;35,9;2663;202
64;Trinidad and Tobago;0,766;40,3;3800;281
65;Lebanon;0,765;NA;5094;118
65;Panama;0,765;51,9;15126;411
67;Venezuela (Bolivarian Republic of);0,764;44,8;48262;161
68;Costa Rica;0,763;50,7;14953;314
69;Turkey;0,759;40;137133;179
70;Kazakhstan;0,757;29;48684;295
71;Mexico;0,756;47,2;246226;210
71;Seychelles;0,756;65,8;628;709
73;Saint Kitts and Nevis;0,75;NA;330;714
73;Sri Lanka;0,75;36,4;27000;132
75;Iran (Islamic Republic of);0,749;38,3;217000;284
76;Azerbaijan;0,747;33,7;37989;413
77;Jordan;0,745;35,4;6066;95
77;Serbia;0,745;29,6;10226;142
79;Brazil;0,744;54,7;548003;274
79;Georgia;0,744;42,1;10202;225
79;Grenada;0,744;NA;441;424
82;Peru;0,737;48,1;61390;202
83;Ukraine;0,734;25,6;137965;305
84;Belize;0,732;53,1;1562;476
84;The former Yugoslav Republic of Macedonia;0,732;43,6;2515;122
86;Bosnia and Herzegovina;0,731;36,2;2910;77
87;Armenia;0,73;31,3;4756;164
88;Fiji;0,724;42,8;1537;174
89;Thailand;0,722;39,4;279854;398
90;Tunisia;0,721;36,1;21300;199
91;China;0,719;42,1;1640000;121
91;Saint Vincent and the Grenadines;0,719;NA;410;376
93;Algeria;0,717;NA;60000;162
93;Dominica;0,717;NA;266;391
95;Albania;0,716;34,5;4505;158
96;Jamaica;0,715;45,5;4201;152
97;Saint Lucia;0,714;NA;568;317
98;Colombia;0,711;55,9;118201;245
98;Ecuador;0,711;49,3;21080;149
100;Suriname;0,705;52,9;994;186
100;Tonga;0,705;NA;158;150
102;Dominican Republic;0,7;47,2;24744;240
