Ranking;Country;HDI 2013;Gini 2003-2012;Prision Population Total 2011-2013;Prision Population Rate (per 100000) 2011-2013
103;Maldives;0,698;37,4;994;307
103;Mongolia;0,698;36,5;8193;287
103;Turkmenistan;0,698;40,8;10953;224
106;Samoa;0,694;NA;430;228
107;Palestine, State of;0,686;35,5;NA;NA
108;Indonesia;0,684;38,1;144332;59
109;Botswana;0,683;60,5;4241;205
110;Egypt;0,682;30,8;66000;80
111;Paraguay;0,676;52,4;7901;118
112;Gabon;0,674;41,5;2750;196
113;Bolivia (Plurinational State of);0,667;56,3;14770;140
114;Moldova (Republic of);0,663;33;6710;188
115;El Salvador;0,662;48,3;26568;422
116;Uzbekistan;0,661;36,7;42000;152
117;Philippines;0,66;43;108305;111
118;South Africa;0,658;63,1;156370;294
118;Syrian Arab Republic;0,658;35,8;10599;58
120;Iraq;0,642;30,9;37014;110
121;Guyana;0,638;44,5;1962;260
121;Viet Nam;0,638;35,6;130180;145
123;Cape Verde;0,636;50,5;1348;267
124;Micronesia (Federated States of);0,63;61,1;90;80
125;Guatemala;0,628;55,9;16336;105
125;Kyrgyzstan;0,628;33,4;9828;181
127;Namibia;0,624;63,9;4314;191
128;Timor-Leste;0,62;30,4;295;25
129;Honduras;0,617;57;12263;153
129;Morocco;0,617;40,9;72000;220
131;Vanuatu;0,616;NA;194;76
132;Nicaragua;0,614;40,5;9168;153
133;Kiribati;0,607;NA;118;114
133;Tajikistan;0,607;30,8;9317;130
135;India;0,586;33,9;385135;30
136;Bhutan;0,584;38,1;1001;135
136;Cambodia;0,584;36;15397;106
138;Ghana;0,573;42,8;14021;54
139;Lao People's Democratic Republic;0,569;36,7;4020;69
140;Congo;0,564;47,3;1300;31
141;Zambia;0,561;57,5;17021;119
142;Bangladesh;0,558;32,1;72104;42
142;Sao Tome and Principe;0,558;50,8;217;128
144;Equatorial Guinea;0,556;NA;650;95
