Ranking;Country;HDI 2013;Gini 2003-2012;Prision Population Total 2011-2013;Prision Population Rate (per 100000) 2011-2013
1;Norway;0,944;25,8;3649;72
2;Australia;0,933;34;29383;130
3;Switzerland;0,917;33,7;6599;82
4;Netherlands;0,915;30,9;13749;82
5;United States;0,914;40,8;2239751;716
6;Germany;0,911;28,3;64379;79
7;New Zealand;0,91;NA;8597;192
8;Canada;0,902;32,6;40544;118
9;Singapore;0,901;NA;12504;230
10;Denmark;0,9;26,9;4091;73
11;Ireland;0,899;34,3;4068;88
12;Sweden;0,898;25;6364;67
13;Iceland;0,895;32,1;152;47
14;United Kingdom;0,892;36;94136;102
15;Hong Kong, China (SAR);0,891;NA;9189;128
15;Korea (Republic of);0,891;NA;48497;99
17;Japan;0,89;32,1;64932;51
18;Liechtenstein;0,889;NA;9;24
19;Israel;0,888;39,2;17279;223
20;France;0,884;31,7;62443;98
21;Austria;0,881;29,2;8273;98
21;Belgium;0,881;33;12126;108
21;Luxembourg;0,881;30,8;658;122
24;Finland;0,879;26,9;3134;58
25;Slovenia;0,874;31,2;1357;66
26;Italy;0,872;36;64835;106
27;Spain;0,869;34,7;68220;147
28;Czech Republic;0,861;26,4;16257;154
29;Greece;0,853;34,3;12479;111
30;Brunei Darussalam;0,852;NA;507;122
31;Qatar;0,851;41,1;1150;60
32;Cyprus;0,845;NA;905;106
33;Estonia;0,84;36;3186;238
34;Saudi Arabia;0,836;NA;47000;162
35;Lithuania;0,834;37,6;9729;329
35;Poland;0,834;32,7;83610;217
37;Andorra;0,83;NA;33;38
37;Slovakia;0,83;26;10152;187
39;Malta;0,829;NA;610;145
40;United Arab Emirates;0,827;NA;11193;238
41;Chile;0,822;52,1;46718;266
41;Portugal;0,822;NA;14264;136
43;Hungary;0,818;31,2;18388;186
44;Bahrain;0,815;NA;2307;275
44;Cuba;0,815;NA;57337;510
46;Kuwait;0,814;NA;4179;137
47;Croatia;0,812;33,7;4741;108
48;Latvia;0,81;34,8;6117;304
49;Argentina;0,808;44,5;60789;147
